East of England,802
KSS,643
LNR,278
London,1080
North West England,1001
Northern Ireland,340
Northern,493
Oxford,334
Peninsula,302
Scotland,934
Severn,397
Trent,453
Wales,485
Wessex,413
West Mids Central,262
West Mids North,429
West Mids South,278
Yorks & Humber,778
